encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E3_TSDAE_EP30,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.509347,4.601033,-0.005306,0.263034,0.281369,"[[2, 4, 3, 0], [0, 3, 6, 3], [2, 7, 4, 1], [0, 1, 9, 3]]",0.576923,0.507937,"[[11, 10], [12, 15]]",LightGBM,{},models/tsdae_e5_small_v2/ep30,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T03:17:51,
E3_TSDAE_EP30,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.615343,3.808741,0.158464,0.256493,0.274298,"[[1, 10, 1, 0], [0, 11, 6, 0], [0, 7, 6, 0], [0, 3, 3, 0]]",0.375,0.649728,"[[22, 7], [13, 6]]",AdaBoost,{},models/tsdae_e5_small_v2/ep30,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T03:18:12,
E3_TSDAE_EP05,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.285465,4.340951,0.074739,0.195478,0.103327,"[[0, 5, 3, 1], [0, 4, 8, 0], [0, 5, 8, 1], [0, 4, 8, 1]]",0.654545,0.599647,"[[11, 10], [9, 18]]",SVR,{},models/tsdae_e5_small_v2/ep05,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:09:59,
E3_TSDAE_EP05,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.672183,3.798457,0.137608,0.160417,0.225238,"[[0, 11, 1, 0], [0, 9, 8, 0], [0, 9, 4, 0], [0, 2, 4, 0]]",0.470588,0.629764,"[[22, 7], [11, 8]]",SVR,{},models/tsdae_e5_small_v2/ep05,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:10:23,
E3_TSDAE_EP10,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.279607,4.374604,0.076789,0.193183,0.127768,"[[0, 7, 1, 1], [0, 3, 7, 2], [0, 5, 9, 0], [0, 4, 8, 1]]",0.641509,0.599647,"[[12, 9], [10, 17]]",SVR,{},models/tsdae_e5_small_v2/ep10,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:10:45,
E3_TSDAE_EP05,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.285465,4.340951,0.074739,0.195478,0.103327,"[[0, 5, 3, 1], [0, 4, 8, 0], [0, 5, 8, 1], [0, 4, 8, 1]]",0.654545,0.599647,"[[11, 10], [9, 18]]",SVR,{},models/tsdae_e5_small_v2/ep05,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:14:29,
E3_TSDAE_EP05,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.672183,3.798457,0.137608,0.160417,0.225238,"[[0, 11, 1, 0], [0, 9, 8, 0], [0, 9, 4, 0], [0, 2, 4, 0]]",0.470588,0.629764,"[[22, 7], [11, 8]]",SVR,{},models/tsdae_e5_small_v2/ep05,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:14:50,
E3_TSDAE_EP10,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.279607,4.374604,0.076789,0.193183,0.127768,"[[0, 7, 1, 1], [0, 3, 7, 2], [0, 5, 9, 0], [0, 4, 8, 1]]",0.641509,0.599647,"[[12, 9], [10, 17]]",SVR,{},models/tsdae_e5_small_v2/ep10,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:15:12,
E3_TSDAE_EP10,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.689075,3.830017,0.131361,0.211594,0.274298,"[[1, 10, 1, 0], [0, 10, 7, 0], [0, 9, 4, 0], [0, 2, 4, 0]]",0.470588,0.624319,"[[22, 7], [11, 8]]",SVR,{},models/tsdae_e5_small_v2/ep10,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:15:33,
E3_TSDAE_EP20,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.126433,4.239965,0.129581,0.191912,0.165336,"[[0, 7, 1, 1], [0, 3, 7, 2], [0, 5, 9, 0], [0, 3, 9, 1]]",0.615385,0.608466,"[[12, 9], [11, 16]]",SVR,{},models/tsdae_e5_small_v2/ep20,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:15:55,
