encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E9_BETO_MT,fine-tuning-multitask,question,07,no_augmentation,PHQ9,42,test,confirmatory,4.345085,3.733803,0.374691,0.297086,0.427598,"[[0, 8, 1, 0], [0, 5, 6, 1], [0, 4, 10, 0], [0, 2, 8, 3]]",0.75,0.77425,"[[13, 8], [6, 21]]",finetuned_multitask,"{""fold_epochs"": [14, 2, 5, 4, 3], ""refit_epochs"": 4, ""cv_rmse"": 4.9398, ""cv_mae"": 4.1218, ""cv_r2"": 0.3117, ""heads"": [""PHQ9"", ""GAD7""]}",dccuchile/bert-base-spanish-wwm-cased,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T00:18:25,"one model, both scales"
E9_BETO_MT,fine-tuning-multitask,question,07,no_augmentation,GAD7,42,test,confirmatory,4.358794,3.380391,0.249419,0.319778,0.343619,"[[2, 9, 1, 0], [0, 12, 5, 0], [0, 6, 7, 0], [0, 3, 3, 0]]",0.529412,0.751361,"[[23, 6], [10, 9]]",finetuned_multitask,"{""fold_epochs"": [14, 2, 5, 4, 3], ""refit_epochs"": 4, ""cv_rmse"": 4.3357, ""cv_mae"": 3.5185, ""cv_r2"": 0.2327, ""heads"": [""PHQ9"", ""GAD7""]}",dccuchile/bert-base-spanish-wwm-cased,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T00:18:25,"one model, both scales"
E9_E5BASE_MT,fine-tuning-multitask,question,07,no_augmentation,PHQ9,42,test,confirmatory,4.318092,3.537423,0.382436,0.31942,0.507214,"[[1, 7, 1, 0], [0, 4, 8, 0], [0, 4, 9, 1], [0, 1, 9, 3]]",0.703704,0.768959,"[[13, 8], [8, 19]]",finetuned_multitask,"{""fold_epochs"": [5, 3, 4, 4, 2], ""refit_epochs"": 4, ""cv_rmse"": 4.8957, ""cv_mae"": 4.0388, ""cv_r2"": 0.3239, ""heads"": [""PHQ9"", ""GAD7""]}",intfloat/multilingual-e5-base,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T00:25:23,"one model, both scales"
E9_E5BASE_MT,fine-tuning-multitask,question,07,no_augmentation,GAD7,42,test,confirmatory,4.241176,3.321173,0.28938,0.310029,0.342246,"[[3, 7, 2, 0], [0, 10, 7, 0], [0, 7, 6, 0], [0, 2, 4, 0]]",0.470588,0.747731,"[[22, 7], [11, 8]]",finetuned_multitask,"{""fold_epochs"": [5, 3, 4, 4, 2], ""refit_epochs"": 4, ""cv_rmse"": 4.3407, ""cv_mae"": 3.5509, ""cv_r2"": 0.2309, ""heads"": [""PHQ9"", ""GAD7""]}",intfloat/multilingual-e5-base,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T00:25:23,"one model, both scales"
E9_ROBERTAES_MENTAL_MT,fine-tuning-multitask,question,07,no_augmentation,PHQ9,42,test,confirmatory,4.37806,3.702523,0.365164,0.308131,0.504668,"[[2, 6, 1, 0], [1, 3, 7, 1], [0, 4, 7, 3], [0, 1, 9, 3]]",0.714286,0.800705,"[[12, 9], [7, 20]]",finetuned_multitask,"{""fold_epochs"": [7, 2, 6, 4, 2], ""refit_epochs"": 4, ""cv_rmse"": 4.7747, ""cv_mae"": 3.9215, ""cv_r2"": 0.3569, ""heads"": [""PHQ9"", ""GAD7""]}",ELiRF/RoBERTa-es-mental-large,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T00:42:17,"one model, both scales"
E9_ROBERTAES_MENTAL_MT,fine-tuning-multitask,question,07,no_augmentation,GAD7,42,test,confirmatory,4.203815,3.26915,0.301844,0.35589,0.431664,"[[4, 7, 1, 0], [0, 13, 4, 0], [0, 8, 5, 0], [0, 2, 4, 0]]",0.516129,0.791289,"[[25, 4], [11, 8]]",finetuned_multitask,"{""fold_epochs"": [7, 2, 6, 4, 2], ""refit_epochs"": 4, ""cv_rmse"": 4.1912, ""cv_mae"": 3.3593, ""cv_r2"": 0.283, ""heads"": [""PHQ9"", ""GAD7""]}",ELiRF/RoBERTa-es-mental-large,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T00:42:17,"one model, both scales"
E9_E5LARGE_MT,fine-tuning-multitask,question,07,no_augmentation,PHQ9,42,test,confirmatory,4.448211,3.637652,0.344657,0.290843,0.490218,"[[1, 7, 1, 0], [1, 4, 7, 0], [0, 5, 9, 0], [0, 1, 10, 2]]",0.75,0.761905,"[[13, 8], [6, 21]]",finetuned_multitask,"{""fold_epochs"": [4, 2, 5, 3, 2], ""refit_epochs"": 3, ""cv_rmse"": 4.7485, ""cv_mae"": 3.7526, ""cv_r2"": 0.364, ""heads"": [""PHQ9"", ""GAD7""]}",intfloat/multilingual-e5-large,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T01:57:18,"one model, both scales"
E9_E5LARGE_MT,fine-tuning-multitask,question,07,no_augmentation,GAD7,42,test,confirmatory,4.157305,3.075501,0.317207,0.309756,0.404826,"[[2, 9, 1, 0], [0, 9, 8, 0], [0, 4, 9, 0], [0, 2, 4, 0]]",0.578947,0.780399,"[[21, 8], [8, 11]]",finetuned_multitask,"{""fold_epochs"": [4, 2, 5, 3, 2], ""refit_epochs"": 3, ""cv_rmse"": 4.122, ""cv_mae"": 3.2925, ""cv_r2"": 0.3065, ""heads"": [""PHQ9"", ""GAD7""]}",intfloat/multilingual-e5-large,finetuned_mt_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-18T01:57:18,"one model, both scales"
